Loaded processed data from: /pool1/home/ysxin/E3nnVB/VB/processed/train_data.pt
Using device: cuda
CUDA device: NVIDIA GeForce RTX 4080
/pool1/home/ysxin/miniconda3/envs/newe3nn/lib/python3.10/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
C4H6 tensor([0])
/pool1/home/ysxin/miniconda3/envs/newe3nn/lib/python3.10/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
Epoch 000 | Loss(MSE)=0.031267 | MAE=0.125773 | RMSE=0.176825 | LR=1.00e-03
Epoch 001 | Loss(MSE)=0.007620 | MAE=0.042595 | RMSE=0.087291 | LR=1.00e-03
Epoch 002 | Loss(MSE)=0.007485 | MAE=0.038032 | RMSE=0.086516 | LR=1.00e-03
Epoch 003 | Loss(MSE)=0.007444 | MAE=0.037095 | RMSE=0.086278 | LR=1.00e-03
Epoch 004 | Loss(MSE)=0.007462 | MAE=0.036896 | RMSE=0.086380 | LR=1.00e-03
Epoch 005 | Loss(MSE)=0.007412 | MAE=0.036705 | RMSE=0.086090 | LR=1.00e-03
Epoch 006 | Loss(MSE)=0.007427 | MAE=0.036854 | RMSE=0.086179 | LR=1.00e-03
Epoch 007 | Loss(MSE)=0.007412 | MAE=0.036695 | RMSE=0.086091 | LR=1.00e-03
Epoch 008 | Loss(MSE)=0.007399 | MAE=0.036569 | RMSE=0.086016 | LR=1.00e-03
Epoch 009 | Loss(MSE)=0.007399 | MAE=0.036721 | RMSE=0.086017 | LR=1.00e-03
Epoch 010 | Loss(MSE)=0.007393 | MAE=0.036504 | RMSE=0.085982 | LR=1.00e-03
Epoch 011 | Loss(MSE)=0.007390 | MAE=0.036559 | RMSE=0.085967 | LR=1.00e-03
Epoch 012 | Loss(MSE)=0.007399 | MAE=0.036625 | RMSE=0.086017 | LR=1.00e-03
Epoch 013 | Loss(MSE)=0.007386 | MAE=0.036566 | RMSE=0.085941 | LR=1.00e-03
Epoch 014 | Loss(MSE)=0.007391 | MAE=0.036534 | RMSE=0.085970 | LR=1.00e-03
Epoch 015 | Loss(MSE)=0.007391 | MAE=0.036610 | RMSE=0.085972 | LR=1.00e-03
Epoch 016 | Loss(MSE)=0.007391 | MAE=0.036643 | RMSE=0.085970 | LR=1.00e-03
Epoch 017 | Loss(MSE)=0.007397 | MAE=0.036533 | RMSE=0.086008 | LR=1.00e-03
Epoch 018 | Loss(MSE)=0.007390 | MAE=0.036524 | RMSE=0.085963 | LR=1.00e-03
Epoch 019 | Loss(MSE)=0.007384 | MAE=0.036526 | RMSE=0.085930 | LR=1.00e-03
Epoch 020 | Loss(MSE)=0.007381 | MAE=0.036549 | RMSE=0.085913 | LR=1.00e-03
Epoch 021 | Loss(MSE)=0.007378 | MAE=0.036412 | RMSE=0.085897 | LR=1.00e-03
Epoch 022 | Loss(MSE)=0.007386 | MAE=0.036579 | RMSE=0.085944 | LR=1.00e-03
Epoch 023 | Loss(MSE)=0.007390 | MAE=0.036675 | RMSE=0.085967 | LR=1.00e-03
Epoch 024 | Loss(MSE)=0.007399 | MAE=0.036673 | RMSE=0.086016 | LR=1.00e-03
Epoch 025 | Loss(MSE)=0.007388 | MAE=0.036511 | RMSE=0.085955 | LR=1.00e-03
Epoch 026 | Loss(MSE)=0.007396 | MAE=0.036534 | RMSE=0.085998 | LR=1.00e-03
Epoch 027 | Loss(MSE)=0.007385 | MAE=0.036560 | RMSE=0.085937 | LR=1.00e-03
Epoch 028 | Loss(MSE)=0.007372 | MAE=0.036365 | RMSE=0.085859 | LR=1.00e-03
Epoch 029 | Loss(MSE)=0.007391 | MAE=0.036595 | RMSE=0.085972 | LR=9.99e-04
Epoch 030 | Loss(MSE)=0.007384 | MAE=0.036584 | RMSE=0.085931 | LR=9.99e-04
Epoch 031 | Loss(MSE)=0.007386 | MAE=0.036478 | RMSE=0.085944 | LR=9.99e-04
Epoch 032 | Loss(MSE)=0.007382 | MAE=0.036560 | RMSE=0.085919 | LR=9.99e-04
Epoch 033 | Loss(MSE)=0.007383 | MAE=0.036653 | RMSE=0.085922 | LR=9.99e-04
Epoch 034 | Loss(MSE)=0.007385 | MAE=0.036511 | RMSE=0.085935 | LR=9.99e-04
Epoch 035 | Loss(MSE)=0.007395 | MAE=0.036431 | RMSE=0.085993 | LR=9.99e-04
Epoch 036 | Loss(MSE)=0.007389 | MAE=0.036660 | RMSE=0.085962 | LR=9.99e-04
Epoch 037 | Loss(MSE)=0.007389 | MAE=0.036589 | RMSE=0.085960 | LR=9.99e-04
Epoch 038 | Loss(MSE)=0.007391 | MAE=0.036591 | RMSE=0.085972 | LR=9.99e-04
Epoch 039 | Loss(MSE)=0.007388 | MAE=0.036409 | RMSE=0.085952 | LR=9.99e-04
Epoch 040 | Loss(MSE)=0.007388 | MAE=0.036652 | RMSE=0.085951 | LR=9.99e-04
Epoch 041 | Loss(MSE)=0.007391 | MAE=0.036574 | RMSE=0.085972 | LR=9.99e-04
Epoch 042 | Loss(MSE)=0.007394 | MAE=0.036499 | RMSE=0.085988 | LR=9.99e-04
Epoch 043 | Loss(MSE)=0.007389 | MAE=0.036515 | RMSE=0.085960 | LR=9.99e-04
Epoch 044 | Loss(MSE)=0.007379 | MAE=0.036624 | RMSE=0.085900 | LR=9.99e-04
Epoch 045 | Loss(MSE)=0.007367 | MAE=0.036323 | RMSE=0.085831 | LR=9.99e-04
Epoch 046 | Loss(MSE)=0.007372 | MAE=0.036495 | RMSE=0.085862 | LR=9.99e-04
Epoch 047 | Loss(MSE)=0.007380 | MAE=0.036642 | RMSE=0.085904 | LR=9.99e-04
Epoch 048 | Loss(MSE)=0.007383 | MAE=0.036459 | RMSE=0.085926 | LR=9.99e-04
Epoch 049 | Loss(MSE)=0.007385 | MAE=0.036497 | RMSE=0.085934 | LR=9.99e-04
Epoch 050 | Loss(MSE)=0.007374 | MAE=0.036457 | RMSE=0.085869 | LR=9.98e-04
Epoch 051 | Loss(MSE)=0.007396 | MAE=0.036399 | RMSE=0.085999 | LR=9.98e-04
Epoch 052 | Loss(MSE)=0.007366 | MAE=0.036512 | RMSE=0.085824 | LR=9.98e-04
